Angouleme;59;29;13;1;15;5;582;642;-60
Aurillac;56;29;12;1;16;6;610;690;-80
Bayonne;68;29;14;1;14;10;711;738;-27
Beziers;79;29;18;1;10;5;720;648;72
Biarritz;75;29;16;0;13;11;731;663;68
Carcassonne;53;29;11;0;18;9;578;694;-116
Colomiers;64;29;13;1;15;10;588;654;-66
Dax;42;29;8;1;20;8;568;739;-171
Grenoble;84;29;19;1;9;6;756;657;99
Massy;59;29;13;0;16;7;609;633;-24
Montauban;92;29;20;2;7;8;648;488;160
Mont-de-Marsan;83;29;17;0;12;15;727;509;218
Narbonne;31;29;6;2;21;3;521;954;-433
Nevers;69;29;15;0;14;9;634;544;90
Perpignan;92;29;19;1;9;14;846;564;282
Vannes;62;29;12;0;17;14;693;705;-12
